objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(2016 DY30)2016-02-25T18:59:00.000Z,2016-02-25T18:59:00.000Z,0.04,17.3,3.4,7.70E-07,-8.3,0,(2016 DY30)
(2009 VA)2009-11-06T20:32:00.000Z,2009-11-06T20:32:00.000Z,0.05,10.3,8.05,0.000022,-5.8,0,(2009 VA)
(2014 LY21)2014-06-03T15:38:00.000Z,2014-06-03T15:38:00.000Z,0.05,13.3,6.5,0.000091,-5.7,0,(2014 LY21)
(2017 EA)2017-03-02T13:05:00.000Z,2017-03-02T13:05:00.000Z,0.05,18.4,2.95,0.000039,-6.8,0,(2017 EA)
(2010 RF12)2095-09-05T22:03:00.000Z,2095-09-05T22:03:00.000Z,0.06,7.7,10.2,0.05,-3.3,0,(2010 RF12)
(2013 YB)2013-12-23T11:51:00.000Z,2013-12-23T11:51:00.000Z,0.07,10.5,2.15,0.000081,-6.6,0,(2013 YB)
(2015 SK7)2015-09-22T19:44:00.000Z,2015-09-22T19:44:00.000Z,0.07,13.7,7.15,9.20E-07,-8.3,0,(2015 SK7)
(2008 US)2008-10-20T21:30:00.000Z,2008-10-20T21:30:00.000Z,0.09,19.1,2.25,0.000016,-6.3,0,(2008 US)
(2011 CF22)2011-02-06T10:40:00.000Z,2011-02-06T10:40:00.000Z,0.1,19.6,2.9,0.000051,-7.7,0,(2011 CF22)
99942 Apophis (2004 M2029-04-13T19:46:00.000Z,2029-04-13T19:46:00.000Z,0.1,7.4,495,0.0000089,-2.9,1,99942 Apophis (2004 M
(2008 VM)2008-11-03T21:31:00.000Z,2008-11-03T21:31:00.000Z,0.12,11,3.9,0.000036,-6.5,0,(2008 VM)
(2004 FH)2004-03-18T21:09:00.000Z,2004-03-18T21:09:00.000Z,0.13,8,31,0.0000054,-6.6,0,(2004 FH)
(2012 TC4)2017-10-12T03:42:00.000Z,2017-10-12T03:42:00.000Z,0.13,7.7,19.5,0.001,-4.2,0,(2012 TC4)
(2010 XB)2010-11-30T17:08:00.000Z,2010-11-30T17:08:00.000Z,0.14,20.1,5.15,2.50E-07,-8.2,0,(2010 XB)
(2017 JB2)2017-05-04T01:18:00.000Z,2017-05-04T01:18:00.000Z,0.14,4.8,6.6,9.70E-07,-8.8,0,(2017 JB2)
(2017 RZ15)2003-11-30T15:41:00.000Z,2003-11-30T15:41:00.000Z,77.82,6.4,15.95,0.00005,-6,0,(2017 RZ15)
(2017 HZ4)2030-07-22T03:31:00.000Z,2030-07-22T03:31:00.000Z,77.78,4.3,29,0.000016,-5.6,0,(2017 HZ4)
(2002 MN)2046-07-03T21:02:00.000Z,2046-07-03T21:02:00.000Z,77.76,16.4,80.5,0.0000028,-5.3,1,(2002 MN)
(2015 XH55)1970-04-30T03:35:00.000Z,1970-04-30T03:35:00.000Z,77.73,4.6,5.95,8.20E-07,-8.6,0,(2015 XH55)
(2012 SU9)2021-10-04T11:07:00.000Z,2021-10-04T11:07:00.000Z,77.68,7.8,15.85,0.0000014,-7.4,0,(2012 SU9)
(2017 JB2)2013-06-11T03:59:00.000Z,2013-06-11T03:59:00.000Z,77.64,8.9,6.6,9.70E-07,-8.8,0,(2017 JB2)
(2016 JY5)1958-11-06T13:57:00.000Z,1958-11-06T13:57:00.000Z,77.62,11.9,16.5,1.90E-08,-9.3,0,(2016 JY5)
(2016 SR2)2039-09-27T00:10:00.000Z,2039-09-27T00:10:00.000Z,77.58,11.7,24.5,3.90E-07,-7.6,0,(2016 SR2)
(2012 VS76)2069-07-15T00:55:00.000Z,2069-07-15T00:55:00.000Z,77.54,7.3,18,0.000018,-6.2,0,(2012 VS76)
(2015 TC25)1955-02-22T11:30:00.000Z,1955-02-22T11:30:00.000Z,77.44,9.5,5.4,8.20E-07,-8.7,0,(2015 TC25)
