objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(1979 XB)1979-12-17T10:23:00.000Z,1979-12-17T10:23:00.000Z,14.24,23,255.55,7.40E-07,-3.1,1,(1979 XB)
(1994 GK)1994-04-05T08:50:00.000Z,1994-04-05T08:50:00.000Z,8.67,15.6,62,0.000069,-3.7,1,(1994 GK)
(1995 CS)1995-02-02T10:20:00.000Z,1995-02-02T10:20:00.000Z,5.55,24.8,34,0.0000053,-4.8,1,(1995 CS)
(1996 TC1)1996-09-25T12:52:00.000Z,1996-09-25T12:52:00.000Z,6.01,24.3,71.5,0.0000013,-5,1,(1996 TC1)
(1997 TC25)1997-09-28T08:59:00.000Z,1997-09-28T08:59:00.000Z,6.11,10.2,51.5,2.60E-07,-6.7,1,(1997 TC25)
(1997 UA11)1997-10-26T03:22:00.000Z,1997-10-26T03:22:00.000Z,2.74,12.5,39,2.90E-07,-6.6,1,(1997 UA11)
(1998 DK36)1998-02-14T22:37:00.000Z,1998-02-14T22:37:00.000Z,4.41,7.3,43,5.60E-07,-6.5,1,(1998 DK36)
(1999 RZ31)1999-09-04T10:28:00.000Z,1999-09-04T10:28:00.000Z,8.49,7.8,73,0.0000016,-5.3,1,(1999 RZ31)
(2000 SB45)2000-10-02T14:17:00.000Z,2000-10-02T14:17:00.000Z,9.23,8.2,54,0.00016,-4.2,1,(2000 SB45)
(2000 SG344)2031-09-16T06:18:00.000Z,2031-09-16T06:18:00.000Z,69.82,6.7,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)2030-09-22T20:36:00.000Z,2030-09-22T20:36:00.000Z,13.32,2.4,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)2029-11-21T21:17:00.000Z,2029-11-21T21:17:00.000Z,17.63,1.3,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)2029-07-28T04:32:00.000Z,2029-07-28T04:32:00.000Z,13.33,1.2,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)2029-02-16T10:10:00.000Z,2029-02-16T10:10:00.000Z,20.5,1.5,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)2028-05-07T01:32:00.000Z,2028-05-07T01:32:00.000Z,7.63,2,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)2000-09-12T18:25:00.000Z,2000-09-12T18:25:00.000Z,15.49,2.6,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1999-12-26T18:31:00.000Z,1999-12-26T18:31:00.000Z,24.92,1.8,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1999-05-06T01:20:00.000Z,1999-05-06T01:20:00.000Z,1.48,1.9,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1990-07-08T05:48:00.000Z,1990-07-08T05:48:00.000Z,59.37,6.1,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1990-01-08T21:29:00.000Z,1990-01-08T21:29:00.000Z,48.38,3.1,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1980-10-21T04:08:00.000Z,1980-10-21T04:08:00.000Z,47.42,2.9,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1980-04-28T19:35:00.000Z,1980-04-28T19:35:00.000Z,55.28,5.8,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1971-07-02T15:25:00.000Z,1971-07-02T15:25:00.000Z,4.2,1.8,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 SG344)1971-02-19T01:02:00.000Z,1971-02-19T01:02:00.000Z,26.43,1.2,49.5,0.0026,-3.2,1,(2000 SG344)
(2000 WJ107)2000-11-19T13:59:00.000Z,2000-11-19T13:59:00.000Z,8.34,13.4,73,0.0000029,-5.6,1,(2000 WJ107)
(2001 CA21)2001-02-12T06:22:00.000Z,2001-02-12T06:22:00.000Z,66.89,31.3,235.5,1.20E-08,-3.7,1,(2001 CA21)
(2001 HJ31)2001-04-18T23:50:00.000Z,2001-04-18T23:50:00.000Z,10.23,13.3,73,1.90E-07,-6.4,1,(2001 HJ31)
(2001 SD286)2182-06-08T11:02:00.000Z,2182-06-08T11:02:00.000Z,67.43,15.6,37.5,5.70E-08,-7.4,1,(2001 SD286)
(2001 SD286)2001-09-21T23:32:00.000Z,2001-09-21T23:32:00.000Z,7.95,12.8,37.5,5.70E-08,-7.4,1,(2001 SD286)
(2001 UD5)2001-10-03T16:37:00.000Z,2001-10-03T16:37:00.000Z,21.66,15.5,123.5,4.10E-08,-6.2,1,(2001 UD5)
(2001 VB)2001-11-07T06:15:00.000Z,2001-11-07T06:15:00.000Z,63.62,32.5,280.6,2.40E-09,-4,1,(2001 VB)
(2001 YN2)2001-12-15T02:40:00.000Z,2001-12-15T02:40:00.000Z,3.47,18.9,35.5,0.57,-7.9,1,(2001 YN2)
(2002 CB19)2084-08-10T19:36:00.000Z,2084-08-10T19:36:00.000Z,2.63,15.6,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)2079-02-07T12:08:00.000Z,2079-02-07T12:08:00.000Z,33.5,18,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)2023-08-05T18:16:00.000Z,2023-08-05T18:16:00.000Z,39.24,18.3,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)2018-02-02T20:21:00.000Z,2018-02-02T20:21:00.000Z,10.45,15.6,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)2007-08-08T12:56:00.000Z,2007-08-08T12:56:00.000Z,17.68,16.9,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)2002-02-02T22:35:00.000Z,2002-02-02T22:35:00.000Z,10.31,15.7,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)1991-08-05T03:48:00.000Z,1991-08-05T03:48:00.000Z,42.98,18.5,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)1986-01-29T22:35:00.000Z,1986-01-29T22:35:00.000Z,36.34,13.7,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)1956-08-18T21:28:00.000Z,1956-08-18T21:28:00.000Z,56.49,12.4,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)1951-02-10T13:05:00.000Z,1951-02-10T13:05:00.000Z,65.35,20.2,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)1940-08-11T12:27:00.000Z,1940-08-11T12:27:00.000Z,11.59,15,43,0.72,-8.7,1,(2002 CB19)
(2002 CB19)1935-02-07T20:00:00.000Z,1935-02-07T20:00:00.000Z,41.4,18.5,43,0.72,-8.7,1,(2002 CB19)
(2002 EM7)2095-07-01T07:20:00.000Z,2095-07-01T07:20:00.000Z,19.33,9.1,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2072-06-17T10:39:00.000Z,2072-06-17T10:39:00.000Z,61.39,7.2,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2071-03-09T13:39:00.000Z,2071-03-09T13:39:00.000Z,27.94,8.3,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2063-03-11T13:33:00.000Z,2063-03-11T13:33:00.000Z,49.2,14.2,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2057-06-28T10:58:00.000Z,2057-06-28T10:58:00.000Z,44.36,13.7,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2049-06-29T23:15:00.000Z,2049-06-29T23:15:00.000Z,30.27,8.3,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2048-03-21T00:06:00.000Z,2048-03-21T00:06:00.000Z,59.82,7.3,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2040-03-08T11:45:00.000Z,2040-03-08T11:45:00.000Z,18.6,11.8,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2034-06-27T05:11:00.000Z,2034-06-27T05:11:00.000Z,57.18,14.7,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2026-06-26T13:14:00.000Z,2026-06-26T13:14:00.000Z,44.1,7.5,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2025-03-13T09:44:00.000Z,2025-03-13T09:44:00.000Z,44.71,7.5,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2017-03-12T13:33:00.000Z,2017-03-12T13:33:00.000Z,65.9,15.5,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2011-07-01T02:52:00.000Z,2011-07-01T02:52:00.000Z,10.95,10.7,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2003-06-06T13:35:00.000Z,2003-06-06T13:35:00.000Z,76.27,7.5,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)2002-03-07T23:59:00.000Z,2002-03-07T23:59:00.000Z,1.21,10.3,56.5,6.10E-08,-7.3,1,(2002 EM7)
(2002 EM7)1995-07-01T10:12:00.000Z,1995-07-01T10:12:00.000Z,47.93,13.9,56.5,6.10E-08,-7.3,1,(2002 EM7)
